score,traditional,world_bowling
0,1,1
1,20,20
2,210,210
3,1540,1540
4,8855,8855
5,42504,42504
6,177100,177100
7,657800,657800
8,2220075,2220075
9,6906900,6906900
10,20030010,20029910
11,54627084,54625390
12,141116637,141101325
13,347336412,347238500
14,818558424,818062300
15,1854631380,1852514070
16,4053948342,4046044310
17,8574134256,8547655600
18,17590903116,17509826400
19,35084425512,34854380550
20,68153183370,67541888900
21,129156542039,127622461010
22,239128282128,235467859445
23,433093980298,424744086650
24,768175029950,749883201650
25,1335679056261,1297052375366
26,2278764308864,2199889956935
27,3817721269708,3661566327540
28,6285424931278,5985003339040
29,10176048813473,9613307642730
30,16210652213304,15182582176769
31,25423690787719,23589203727170
32,39274771758064,36073308835395
33,59789973730461,54319527255130
34,89736657900900,80574860327825
35,132834787033075,117781961461410
36,194006223597572,169723917774345
37,279661205716974,241173996359780
38,398018151390200,338040825065020
39,559449136091831,467496338531750
40,776838931567572,638070844965110
41,1065940588576732,859697155357480
42,1445705502357343,1143684325691265
43,1938561121705315,1502601676134770
44,2570605432880903,1950055813772110
45,3371684590465908,2500347731015040
46,4375319099346208,3168003824781765
47,5618445228564793,3967183760495780
48,7140942201229333,4910979046898705
49,8984922304030443,6010628213027240
50,11193770355829009,7274686502965781
51,13810930667765157,8708198717340170
52,16878453276117746,10311931823519525
53,20435326129713654,12081727884792140
54,24515635362932954,14008036633963050
55,29146610869639549,16075680003223462
56,34346628376654913,18263888111000370
57,40123251227815383,20546628328775240
58,46471404549689351,22893227578599125
59,53371780703441318,25269264984684270
60,60789577452586487,27637689796314787
61,68673668434334934,29960100551745920
62,76956298564663402,32198107959174615
63,85553384395717227,34314697579840260
64,94365480254213528,36275509938490805
65,103279445170253902,38049964968674380
66,112170812747354087,39612173449501415
67,120906827121834566,40941598074127430
68,129350064451661348,42023448224326255
69,137362512979745598,42848812855238280
70,144809940796620325,43414552998372050
71,151566341291631624,43722987768421870
72,157518221668013078,43781414679391290
73,162568486673578693,43601506663391340
74,166639683923175378,43198625417862815
75,169676402232105648,42591085277769086
76,171646676234883305,41799395825565305
77,172542309343731946,40845506909141420
78,172378125687965848,39752077718176655
79,171190226627438257,38541791092813400
80,169033430825208027,37236734265954227
81,165978103316094584,35857866748978560
82,162106654714921075,34424594142676465
83,157509948809043576,32954462581014750
84,152283892386077931,31462981911416615
85,146526364181517039,29963576660029292
86,140334651650668803,28467653020803480
87,133803399444707801,26984759038298590
88,127023103852577896,25522806327282305
89,120079021507938035,24088318835376660
90,113050455155943519,22686676709427605
91,106010240661754449,21322330217135730
92,99024411737621323,19998968445645700
93,92151904402003308,18719638387834240
94,85444345654857875,17486820124802685
95,78945863453573001,16302471277776220
96,72693023944120045,15168057254583800
97,66714881583314335,14084582319246780
98,61033240145235763,13052630658586615
99,55663091133973346,12072418722804900
100,50613244155051856,11143854188694724
101,45887089510794122,10266593344594420
102,41483436078768079,9440087767430720
103,37397371704961189,8663612863528440
104,33621048067136846,7936274875808590
105,30144388614623696,7256998619048336
106,26955619314626157,6624504282096975
107,24041709119775647,6037286287205860
108,21388640692533960,5493607797089085
109,18981680119465910,4991517434455090
110,16805547548715206,4528888417358896
111,14844654231857239,4103475135395670
112,13083276623221517,3712978649550105
113,11505812292077067,3355111029457150
114,10096971927616045,3027649006567760
115,8842020009154293,2728470033340074
116,7726929590817265,2455568079499915
117,6738528470417086,2207051522130810
118,5864552560171552,1981129914883315
119,5093653838062639,1776098207280280
120,4415377510495980,1590324559115145
121,3820097597373727,1422245289812010
122,3298981687014508,1270367906237890
123,2843905747206868,1133280782366540
124,2447444695948898,1009666167227130
125,2102793053565659,898312049098324
126,1803790254604935,798118306584825
127,1544848145184291,708093859220590
128,1320992367181792,627344542961095
129,1127775864826813,555056550996240
130,961294388171457,490479529459266
131,818085023387881,432912437384680
132,695128788327698,381694130477375
133,589753122859383,336199390618620
134,499630252931260,295839903993625
135,422696870992462,260068624420566
136,357151976811922,228385209907195
137,301400973036441,200339988923560
138,254052574077937,175534435457010
139,213889601295347,153617687340420
140,179862464456172,134280575449174
141,151065169242834,117248552344640
142,126722015973414,102274752682935
143,106169469752641,89134183607230
144,88840622360686,77619732640965
145,74252067274687,67540296613840
146,61990415093876,58720883516950
147,51701385089887,51004028108040
148,43082666091665,44251302626970
149,35870481552300,38343110315140
150,29843343433392,33177167222081
151,24808172866872,28666108631730
152,20607116162379,24734664812935
153,17101443169235,21316832602560
154,14181008701762,18353420191210
155,11747089496422,15790257735412
156,9723545122578,13577241099990
157,8040378083433,11668204865040
158,6644452641044,10021398119875
159,5486702080236,8600056590950
160,4529003381568,7372547220108
161,3736165201688,6312149354020
162,3081105018158,5396549489370
163,2539255963377,4607137627000
164,2091793858275,3928202327005
165,1721930513702,3346128105804
166,1416734360140,2848702430145
167,1164733232308,2424639770410
168,957190045595,2063426478455
169,785911852914,1755582128400
170,645295369580,1492817304730
171,529489941608,1268092189410
172,434606120455,1075584180220
173,356481490646,910576986280
174,292487050484,769288201635
175,239755303889,648657261636
176,196550315542,546120947470
177,160954253448,459409229300
178,131791387388,386400235770
179,107847709116,325079514760
180,88241591630,273596522207
181,72162948863,230305907930
182,59038079745,193793062990
183,48284335855,162883715630
184,39509743432,136637715655
185,32308399043,114327530998
186,26423428886,95402395945
