composition,n_permutations,trad_min,trad_max,trad_range,trad_mean,trad_stdev,world_min,world_max,world_range,world_mean,world_stdev
1 strike + 8 spares,9,149,154,5,153.3,1.7,159,159,0,159.0,0.0
2 strikes + 7 spares,36,158,164,6,162.7,2.1,174,174,0,174.0,0.0
3 strikes + 6 spares,84,168,179,11,172.4,2.9,189,189,0,189.0,0.0
4 strikes + 5 spares,126,178,194,16,183.0,4.2,204,204,0,204.0,0.0
5 strikes + 4 spares,126,188,209,21,194.8,5.5,219,219,0,219.0,0.0
6 strikes + 3 spares,84,198,224,26,208.3,6.4,234,234,0,234.0,0.0
7 strikes + 2 spares,36,213,239,26,223.9,6.6,249,249,0,249.0,0.0
8 strikes + 1 spare,9,238,253,15,242.0,5.6,264,264,0,264.0,0.0
"3 strikes + 6 opens(5,4)",84,120,137,17,124.4,4.8,153,153,0,153.0,0.0
"5 strikes + 4 opens(5,4)",126,140,179,39,157.5,8.5,195,195,0,195.0,0.0
"3X + 3sp + 3 opens(4,3)",1680,126,155,29,139.2,5.1,165,165,0,165.0,0.0
