strike_rate,trad_mean,world_mean,trad_stdev,world_stdev,discrimination_ratio
0.1000,113.5,122.9,17.9,23.0,0.906
0.1119,115.7,126.1,18.2,23.4,0.925
0.1237,118.1,129.5,18.6,23.9,0.937
0.1356,120.5,132.7,19.1,24.7,0.940
0.1475,122.9,135.9,19.5,25.2,0.950
0.1593,125.1,139.0,20.0,25.7,0.951
0.1712,127.5,142.1,20.3,25.9,0.950
0.1831,129.9,145.3,20.7,26.4,0.956
0.1949,132.5,148.6,21.1,26.8,0.961
0.2068,134.8,151.7,21.5,27.1,0.963
0.2186,137.1,154.7,21.8,27.4,0.971
0.2305,139.7,158.0,22.3,27.8,0.978
0.2424,142.3,161.2,22.6,27.9,0.979
0.2542,144.6,164.0,22.8,27.9,0.964
0.2661,147.1,167.0,23.2,28.2,0.977
0.2780,149.4,170.1,23.4,28.2,0.988
0.2898,151.9,172.9,23.9,28.5,0.987
0.3017,154.5,176.1,24.1,28.5,1.003
0.3136,156.9,179.0,24.3,28.3,1.005
0.3254,159.4,181.8,24.6,28.5,1.001
0.3373,162.0,184.8,24.9,28.5,0.990
0.3492,164.3,187.4,25.2,28.5,0.997
0.3610,166.9,190.3,25.3,28.5,1.001
0.3729,169.4,193.2,25.5,28.3,0.991
0.3847,171.9,195.9,25.9,28.4,0.987
0.3966,174.4,198.6,26.1,28.4,0.985
0.4085,177.0,201.5,26.3,28.3,0.991
0.4203,179.4,204.0,26.5,28.2,0.988
0.4322,181.9,206.7,26.4,27.9,0.988
0.4441,184.5,209.4,26.6,27.7,0.996
0.4559,187.0,211.9,26.6,27.5,0.988
0.4678,189.5,214.6,26.6,27.2,0.989
0.4797,192.0,217.0,27.1,27.4,0.984
0.4915,194.4,219.5,27.0,26.9,1.000
0.5034,197.1,222.2,27.2,26.7,0.993
0.5153,199.4,224.3,27.2,26.5,0.976
0.5271,201.9,226.7,27.1,26.1,0.984
0.5390,204.4,229.3,27.2,25.8,0.981
0.5508,207.0,231.7,27.4,25.7,0.985
0.5627,209.5,234.1,27.3,25.3,0.983
0.5746,211.9,236.3,27.3,25.0,0.981
0.5864,214.3,238.5,27.3,24.7,0.986
0.5983,216.9,240.9,27.3,24.3,0.986
0.6102,219.4,243.0,27.0,23.8,0.979
0.6220,221.9,245.2,27.0,23.5,0.992
0.6339,224.5,247.5,26.7,23.0,0.995
0.6458,227.0,249.6,26.7,22.6,0.979
0.6576,229.4,251.6,26.5,22.1,0.983
0.6695,231.8,253.7,26.2,21.6,0.986
0.6814,234.3,255.7,26.3,21.3,0.988
0.6932,236.9,257.9,26.1,20.9,0.998
0.7051,239.3,259.8,25.8,20.6,0.983
0.7169,241.9,261.8,25.6,20.1,0.988
0.7288,244.4,263.7,25.5,19.7,0.979
0.7407,246.8,265.7,25.2,19.1,0.988
0.7525,249.2,267.5,24.7,18.5,0.987
0.7644,251.9,269.4,24.4,18.1,0.988
0.7763,254.3,271.3,24.1,17.5,0.988
0.7881,256.7,273.0,23.6,16.9,0.987
0.8000,259.2,274.8,23.1,16.3,0.997
